username,hours,products,product_id,date,early_access,compensation,found_funny,ranking,username_id
Ariman1,13.2,1386.0,328100,2017-08-02,False,0,0.0,3,0
freakfantom,0.1,1706.0,725280,2017-11-12,False,0,0.0,1,1
The_Cpt_FROGGY,7.8,2217.0,631920,2017-12-11,False,1,0.0,2,2
Devil Azite,0.1,548.0,671270,2017-07-09,False,1,1.0,1,3
MrNinjaSquirrel,1.2,1720.0,288690,2014-12-17,False,0,0.0,1,4
Puddle,1.2,511.0,308040,2017-12-30,False,0,0.0,1,5
Hanzo,0.2,531.0,8880,2017-09-09,False,0,3.0,1,6
Erenussocrates,1.3,853.0,363520,2017-08-28,False,0,0.0,1,7
HeadShot,0.6,1035.0,384210,2017-01-30,False,0,0.0,1,8
Looney [Less than three],7.0,1192.0,631920,2017-09-19,False,0,0.0,2,9
Wiegraf,13.8,724.0,506510,2017-09-12,False,0,0.0,3,10
Rapxtor,59.7,1597.0,399660,2017-06-21,False,0,0.0,3,11
Nyazicat,2.2,1224.0,328100,2017-01-09,False,0,0.0,1,12
PhoenixT1,2.6,543.0,544190,2017-10-29,False,0,0.0,1,13
Venny,11.9,522.0,452570,2018-01-01,False,0,0.0,3,14
kazerniel,1.8,788.0,267670,2014-10-17,False,0,1.0,1,15
gaia.razus,5.1,1863.0,302390,2014-12-15,False,0,4.0,2,16
Demeiz,0.1,1471.0,308040,2017-12-16,False,0,0.0,1,17
wrb41977,1.7,720.0,544190,2017-03-10,False,0,1.0,1,18
Tom Clancy's Joy Division,1.0,779.0,267670,2014-06-29,False,0,1.0,1,19
Stefan8000,2.1,9828.0,682100,2017-11-14,False,0,0.0,1,20
hackwrench,0.1,3144.0,40500,2015-01-17,False,0,1.0,1,21
Lt. Labcoat,0.6,2743.0,291430,2017-01-08,False,0,0.0,1,22
Ro,0.4,1105.0,40500,2014-11-29,False,0,0.0,1,23
Seth-Rah,8.7,602.0,745880,2017-12-18,False,0,12.0,2,24
Mao,2.3,4452.0,573780,2017-02-20,False,0,0.0,1,25
MDS-95,0.5,625.0,302390,2014-07-12,False,0,0.0,1,26
novocain,3.8,1340.0,328100,2015-01-31,False,0,1.0,2,27
[E.K.] puzzle,5.3,1326.0,574640,2017-12-08,False,0,0.0,2,28
John Gamer,2.7,2303.0,291430,2015-05-23,False,0,1.0,1,29
raixel,3.2,527.0,328100,2014-12-15,False,0,1.0,2,30
P'TrickZ,0.1,6450.0,8880,2016-08-25,False,0,0.0,1,31
Shwgar,1.4,982.0,328100,2014-11-30,False,0,0.0,1,32
gbors,1.3,832.0,434620,2017-04-16,False,0,0.0,1,33
Beridok,6.6,930.0,574640,2017-09-02,False,0,0.0,2,34
Halrawk,2.4,930.0,328100,2014-11-07,False,0,1.0,1,35
Long Dong Never Die,6.3,941.0,452570,2017-12-09,False,0,2.0,2,36
TEKnowledgy,1.3,592.0,390340,2017-12-16,False,1,1.0,1,37
Kyo,1.4,632.0,233550,2017-08-15,False,0,1.0,1,38
Ruduen,30.4,659.0,452570,2017-12-03,False,0,0.0,3,39
Joeyboots80,7.2,995.0,344340,2015-11-26,False,0,0.0,2,40
Danger Dave,0.2,693.0,233550,2017-06-18,False,0,0.0,1,41
Raptorz,2.1,2786.0,369080,2017-01-25,True,0,2.0,1,42
cagcag,4.5,589.0,224900,2016-11-06,False,0,0.0,2,43
Whizard77,0.3,837.0,369080,2016-07-25,True,0,1.0,1,44
Varkster,4.4,550.0,434620,2016-02-15,False,0,0.0,2,45
Sir Muffin,3.2,602.0,233550,2017-04-16,False,0,0.0,2,46
Hainwächter,0.1,871.0,224900,2016-06-11,False,0,1.0,1,47
ThePCGamer,5.3,598.0,275180,2016-12-25,False,0,1.0,2,48
Beardy Wog,5.1,1047.0,369080,2016-04-03,True,0,23.0,2,49
TimeRuptured,5.9,821.0,8880,2015-07-02,False,0,0.0,2,50
Zee,13.6,1073.0,452570,2017-11-27,False,1,0.0,3,51
Ayuri,11.9,1328.0,275180,2016-11-05,False,0,0.0,3,52
DeadPoolX,0.1,1913.0,669570,2017-07-23,False,0,2.0,1,53
sourceofpain,0.2,927.0,369080,2015-12-12,True,0,5.0,1,54
